MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,LatitudeMeasure,LongitudeMeasure,HUCEightDigitCode,StateCode,region,huc2
42SRBCWQ_WQX-BOWN010.8-4176,BOWN,River/Stream,41.427247,-76.027558,2050106,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-BRIR000.4-4176,BRIR 0.4,River/Stream,41.04555556,-76.285,2050107,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-BRUB000.2-4076,BRUB 0.2,River/Stream,40.16149,-76.50109,2050306,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-BRUS000.1-3978,BRUS 0.1,River/Stream,39.9975,-78.29472222,2050303,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-BUCK000.2-4177,BUCK 0.2,River/Stream,41.60743,-77.50834,2050205,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-BUFF000.4-4077,BUFF 0.4,River/Stream,40.49444444,-77.13916667,2050304,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-BUFF002.0-4076,BUFF0.2,River/Stream,40.97166667,-76.91722222,2050206,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-BUFR002.2-4077,BUFR 2.2,River/Stream,40.90158,-77.81378,2050204,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-BURG000.5-4078,BURG 0.5,River/Stream,40.491,-78.451,2050302,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-BUTT000.8-4275,BNUT,River/Stream,42.42092,-75.36012,2050101,36.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-BUTT001.1-4175,BUTT 1.1,River/Stream,41.4684,-75.84501,2050106,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-BVDB005.0-4078,BVDB 5.0,River/Stream,40.4587,-78.4247,2050302,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-BVDR008.7-4078,BVDR 8.7,River/Stream,40.6487,-78.60474,2050201,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-CANA003.4-4277,CANA 3.4,River/Stream,42.34979,-77.70493,2050104,36.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-CATA017.7-4276,Catatonk,River/Stream,42.204719,-76.475079,2050103,36.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-CAYT001.7-4176,CAYT 1.7,River/Stream,41.99381,-76.51948,2050103,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-CCLC009.6-4076,CCLC 9.6,River/Stream,40.184882,-76.179426,2050306,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-CEDR009.0-4177,CEDR 9.0,River/Stream,41.62315,-77.51698,2050205,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-CFRK001.7-4177,CRFK 1.7,River/Stream,41.2613,-77.49083,2050203,42.0,Mid-Atlantic / Chesapeake,02
42SRBCWQ_WQX-CHEM002.5-4176,CHEM 2.5,River/Stream,41.95722222,-76.52583333,2050105,42.0,Mid-Atlantic / Chesapeake,02
