MonitoringLocationIdentifier,richness,ept_taxa,ept_present,tol_present,LatitudeMeasure,LongitudeMeasure,region
11NPSWRD_WQX-ERMN_NERI_BMI_3069,84,13,True,True,37.9135,-81.0219,Ohio River Basin
11NPSWRD_WQX-ERMN_NERI_BMI_3072,64,10,True,True,37.7139,-80.9027,Ohio River Basin
11NPSWRD_WQX-ERMN_NERI_BMI_3075,69,13,True,True,37.817,-80.9149,Ohio River Basin
11NPSWRD_WQX-ERMN_NERI_BMI_3077,68,7,True,True,37.882,-81.0595,Ohio River Basin
11NPSWRD_WQX-ERMN_NERI_BMI_3080,70,12,True,True,37.8317,-81.0532,Ohio River Basin
11NPSWRD_WQX-ERMN_NERI_BMI_3082,75,10,True,True,38.0301,-81.0169,Ohio River Basin
11NPSWRD_WQX-ERMN_NERI_BMI_3085,71,13,True,True,37.8648,-80.9822,Ohio River Basin
11NPSWRD_WQX-RICH_FISH18_POW,13,0,False,False,37.57422,-77.30447,Mid-Atlantic / Chesapeake
11NPSWRD_WQX-RICH_FISH18_POW_1,6,0,False,False,37.57422,-77.30447,Mid-Atlantic / Chesapeake
11NPSWRD_WQX-RICH_FISH18_POW_2,10,0,False,False,37.57422,-77.30447,Mid-Atlantic / Chesapeake
11NPSWRD_WQX-RICH_FISH18_TOT,10,0,False,False,37.65243,-77.3459,Mid-Atlantic / Chesapeake
11NPSWRD_WQX-RICH_FISH18_TOT_1,2,0,False,False,37.65243,-77.3459,Mid-Atlantic / Chesapeake
11NPSWRD_WQX-RICH_FISH18_TOT_2,4,0,False,False,37.65243,-77.3459,Mid-Atlantic / Chesapeake
11NPSWRD_WQX-RICH_FISH18_TOT_3,8,0,False,False,37.65243,-77.3459,Mid-Atlantic / Chesapeake
11NPSWRD_WQX-RICH_FISH18_TOT_4,2,0,False,False,37.65243,-77.3459,Mid-Atlantic / Chesapeake
21GPBCH-L_CHV_1,51,0,False,True,47.98865629,-89.77842692,Great Lakes
21GPBCH-L_CTR_1,46,0,False,True,47.95035005,-89.76357972,Great Lakes
21GPBCH-L_CUF_1,68,0,False,True,47.9467900005,-89.743029077,Great Lakes
21GPBCH-L_DUT_1,51,0,False,True,47.95946953,-89.72702432,Great Lakes
21GPBCH-L_HNP_1,52,0,False,True,47.94023893,-89.74963517,Great Lakes
21GPBCH-L_LON_1,41,0,False,True,47.9663619678,-89.8128943239,Great Lakes
21GPBCH-L_LTL_1,40,0,False,True,47.9702926234,-89.6585579492,Great Lakes
21GPBCH-L_MMD_1,52,0,False,True,47.97340779,-89.73758115,Great Lakes
21GPBCH-L_NOR_1,43,0,False,True,47.9491232324,-89.8248967333,Great Lakes
21GPBCH-L_SWD_1,47,0,False,True,47.94564164,-89.82446878,Great Lakes
21GPBCH-L_SWP_1,51,0,False,True,47.949724368,-89.8562320148,Great Lakes
21GPBCH-L_TEA_1,47,0,False,True,47.9909772645,-89.6578783171,Great Lakes
21GPBCH-L_TLR_1,29,2,True,True,47.9345648599,-89.8299680258,Great Lakes
21GPBCH-L_TRT_1,38,0,False,True,47.9505866501,-89.8440320568,Great Lakes
21GPBCH-L_TUR_1,36,0,False,True,47.94272732,-89.82223404,Great Lakes
21GPBCH-S_CDR_1,47,4,True,False,47.94592107,-89.83862743,Great Lakes
21GPBCH-S_EMC_1,46,1,True,True,47.9876696025,-89.8464908554,Great Lakes
21GPBCH-S_GPC_1,42,3,True,True,47.96539391,-89.68424755,Great Lakes
